#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 302031:6147 | 08/30/17 08:08:29 | 804  | 804  | 0.132          | 0.128         |
| 302033:6147 | 08/30/17 13:34:23 | 39   | 39   | 0.005          | 0.005         |
| 302034:6147 | 08/30/17 13:54:42 | 4    | 4    | 0.001          | 0.000         |
| 302037:6147 | 08/30/17 14:25:38 | 1    | 1    | 0.000          | 0.000         |
| 302038:6147 | 08/30/17 14:31:57 | 1    | 1    | 0.000          | 0.000         |
| 302040:6147 | 08/30/17 14:35:43 | 168  | 168  | 0.021          | 0.021         |
| 302041:6147 | 08/30/17 15:44:00 | 65   | 65   | 0.008          | 0.008         |
| 302042:6147 | 08/30/17 16:12:11 | 514  | 514  | 0.056          | 0.055         |
| 302043:6147 | 08/30/17 19:35:17 | 228  | 228  | 0.021          | 0.021         |
| 302131:6152 | 08/31/17 12:32:49 | 873  | 873  | 0.114          | 0.111         |
| 302159:6155 | 09/01/17 00:38:55 | 105  | 105  | 0.017          | 0.016         |
| 302163:6156 | 09/01/17 03:34:09 | 1101 | 1101 | 0.138          | 0.134         |
| 302165:6156 | 09/01/17 11:25:29 | 79   | 79   | 0.007          | 0.007         |
| 302166:6156 | 09/01/17 11:58:48 | 16   | 16   | 0.002          | 0.002         |
| 302225:6158 | 09/01/17 18:41:42 | 853  | 853  | 0.116          | 0.113         |
| 302228:6159 | 09/02/17 03:31:11 | 232  | 232  | 0.039          | 0.038         |
| 302229:6159 | 09/02/17 05:05:33 | 457  | 457  | 0.069          | 0.067         |
| 302240:6160 | 09/02/17 10:53:49 | 729  | 729  | 0.111          | 0.109         |
| 302262:6161 | 09/03/17 03:32:47 | 416  | 416  | 0.076          | 0.074         |
| 302263:6161 | 09/03/17 06:21:33 | 1249 | 1249 | 0.168          | 0.165         |
| 302277:6165 | 09/03/17 22:47:36 | 369  | 369  | 0.055          | 0.054         |
| 302279:6165 | 09/04/17 07:35:57 | 68   | 68   | 0.006          | 0.006         |
| 302280:6165 | 09/04/17 08:06:51 | 152  | 152  | 0.013          | 0.013         |
| 302322:6167 | 09/04/17 17:44:13 | 809  | 809  | 0.095          | 0.094         |
| 302328:6168 | 09/05/17 01:50:14 | 678  | 678  | 0.095          | 0.093         |
| 302337:6169 | 09/05/17 09:18:04 | 124  | 124  | 0.021          | 0.020         |
| 302342:6169 | 09/05/17 10:22:40 | 54   | 54   | 0.009          | 0.007         |
| 302343:6169 | 09/05/17 10:52:16 | 97   | 97   | 0.016          | 0.015         |
| 302344:6169 | 09/05/17 11:33:14 | 480  | 480  | 0.070          | 0.069         |
| 302350:6169 | 09/05/17 15:02:18 | 136  | 136  | 0.017          | 0.016         |
| 302388:6170 | 09/05/17 18:47:49 | 680  | 680  | 0.129          | 0.126         |
| 302392:6171 | 09/06/17 01:58:24 | 346  | 346  | 0.077          | 0.075         |
| 302393:6171 | 09/06/17 04:19:09 | 887  | 887  | 0.160          | 0.157         |
| 302448:6174 | 09/06/17 20:49:55 | 1895 | 1895 | 0.314          | 0.307         |
| 302472:6175 | 09/07/17 11:28:08 | 771  | 771  | 0.159          | 0.154         |
| 302473:6175 | 09/07/17 16:32:57 | 355  | 355  | 0.060          | 0.058         |
| 302474:6175 | 09/07/17 19:17:17 | 295  | 295  | 0.044          | 0.042         |
| 302475:6175 | 09/07/17 21:17:58 | 2    | 2    | 0.000          | 0.000         |
| 302476:6175 | 09/07/17 21:22:33 | 259  | 259  | 0.034          | 0.033         |
| 302479:6176 | 09/08/17 01:20:30 | 307  | 307  | 0.071          | 0.068         |
| 302484:6177 | 09/08/17 06:07:18 | 143  | 143  | 0.033          | 0.032         |
| 302485:6177 | 09/08/17 07:17:25 | 866  | 866  | 0.167          | 0.161         |
| 302492:6177 | 09/08/17 13:49:02 | 44   | 44   | 0.007          | 0.007         |
