#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 305044:6297 | 10/13/17 21:00:45 | 218  | 218  | 0.071          | 0.067         |
| 305045:6297 | 10/13/17 23:11:07 | 871  | 871  | 0.210          | 0.201         |
| 305046:6297 | 10/14/17 04:51:45 | 683  | 683  | 0.111          | 0.108         |
| 305059:6298 | 10/14/17 11:45:00 | 509  | 509  | 0.171          | 0.157         |
| 305062:6298 | 10/14/17 15:13:17 | 5    | 5    | 0.002          | 0.001         |
| 305063:6298 | 10/14/17 15:18:15 | 35   | 35   | 0.011          | 0.010         |
| 305064:6298 | 10/14/17 15:34:27 | 2044 | 2044 | 0.389          | 0.378         |
| 305081:6300 | 10/15/17 09:06:21 | 1054 | 1054 | 0.331          | 0.313         |
| 305112:6303 | 10/15/17 23:07:00 | 1455 | 1455 | 0.416          | 0.398         |
| 305113:6303 | 10/16/17 08:40:46 | 59   | 59   | 0.011          | 0.011         |
| 305114:6303 | 10/16/17 09:05:22 | 526  | 526  | 0.087          | 0.085         |
| 305178:6304 | 10/16/17 17:19:50 | 52   | 52   | 0.018          | 0.017         |
| 305179:6304 | 10/16/17 17:41:42 | 16   | 16   | 0.006          | 0.004         |
| 305180:6304 | 10/16/17 17:50:42 | 5    | 5    | 0.002          | 0.001         |
| 305181:6304 | 10/16/17 17:55:03 | 7    | 7    | 0.002          | 0.001         |
| 305182:6304 | 10/16/17 18:00:34 | 5    | 5    | 0.002          | 0.001         |
| 305183:6304 | 10/16/17 18:04:56 | 232  | 232  | 0.080          | 0.077         |
| 305184:6304 | 10/16/17 19:50:14 | 4    | 4    | 0.001          | 0.000         |
| 305186:6304 | 10/16/17 19:58:49 | 415  | 415  | 0.127          | 0.121         |
| 305188:6304 | 10/16/17 23:07:05 | 1002 | 1002 | 0.203          | 0.197         |
| 305202:6305 | 10/17/17 08:18:29 | 638  | 638  | 0.216          | 0.206         |
| 305204:6305 | 10/17/17 13:20:31 | 1229 | 1229 | 0.261          | 0.253         |
| 305207:6306 | 10/17/17 23:34:03 | 1025 | 1025 | 0.329          | 0.316         |
| 305208:6306 | 10/18/17 06:15:41 | 372  | 372  | 0.086          | 0.082         |
| 305234:6307 | 10/18/17 11:00:15 | 41   | 41   | 0.014          | 0.013         |
| 305236:6307 | 10/18/17 11:28:42 | 20   | 20   | 0.007          | 0.006         |
| 305237:6307 | 10/18/17 11:42:18 | 1146 | 1146 | 0.351          | 0.335         |
| 305247:6308 | 10/18/17 23:58:28 | 371  | 371  | 0.128          | 0.122         |
| 305248:6308 | 10/19/17 02:26:29 | 951  | 951  | 0.270          | 0.256         |
| 305252:6308 | 10/19/17 09:09:00 | 548  | 548  | 0.097          | 0.094         |
| 305282:6309 | 10/19/17 15:28:19 | 133  | 133  | 0.046          | 0.044         |
| 305310:6311 | 10/19/17 20:28:01 | 382  | 382  | 0.132          | 0.125         |
| 305311:6311 | 10/19/17 23:03:23 | 150  | 150  | 0.049          | 0.047         |
| 305312:6311 | 10/20/17 00:05:08 | 226  | 226  | 0.072          | 0.068         |
| 305313:6311 | 10/20/17 01:35:47 | 733  | 733  | 0.176          | 0.169         |
| 305314:6311 | 10/20/17 06:25:45 | 404  | 404  | 0.070          | 0.068         |
| 305336:6312 | 10/20/17 12:11:09 | 203  | 203  | 0.070          | 0.066         |
| 305338:6312 | 10/20/17 13:32:38 | 101  | 101  | 0.034          | 0.033         |
| 305341:6312 | 10/20/17 14:14:05 | 499  | 499  | 0.158          | 0.151         |
| 305349:6312 | 10/20/17 17:29:36 | 16   | 16   | 0.004          | 0.004         |
| 305350:6312 | 10/20/17 17:43:01 | 15   | 15   | 0.004          | 0.004         |
| 305351:6312 | 10/20/17 17:51:38 | 867  | 867  | 0.183          | 0.177         |
| 305358:6313 | 10/21/17 02:01:05 | 150  | 150  | 0.052          | 0.048         |
| 305364:6314 | 10/21/17 05:43:21 | 92   | 92   | 0.032          | 0.030         |
| 305365:6314 | 10/21/17 06:21:12 | 822  | 822  | 0.259          | 0.247         |
| 305366:6314 | 10/21/17 11:46:55 | 1240 | 1240 | 0.238          | 0.231         |
| 305376:6315 | 10/22/17 00:11:09 | 98   | 98   | 0.034          | 0.032         |
| 305377:6315 | 10/22/17 01:10:10 | 1505 | 1505 | 0.411          | 0.393         |
| 305405:6317 | 10/22/17 18:15:49 | 493  | 493  | 0.168          | 0.158         |
| 305406:6317 | 10/22/17 21:45:00 | 1458 | 1458 | 0.326          | 0.313         |
| 305440:6318 | 10/23/17 10:50:33 | 252  | 252  | 0.087          | 0.083         |
| 305441:6318 | 10/23/17 12:36:13 | 121  | 121  | 0.038          | 0.036         |
| 305516:6323 | 10/23/17 23:42:58 | 551  | 551  | 0.185          | 0.169         |
| 305517:6323 | 10/24/17 03:42:14 | 121  | 121  | 0.037          | 0.034         |
| 305518:6323 | 10/24/17 04:48:59 | 1133 | 1133 | 0.241          | 0.232         |
| 305586:6324 | 10/24/17 17:46:56 | 531  | 531  | 0.179          | 0.170         |
| 305589:6324 | 10/24/17 22:47:21 | 691  | 691  | 0.169          | 0.162         |
| 305590:6324 | 10/25/17 03:17:26 | 1004 | 1004 | 0.155          | 0.151         |
| 305636:6325 | 10/25/17 13:27:50 | 2325 | 2325 | 0.544          | 0.521         |
| 305766:6337 | 10/27/17 04:37:33 | 848  | 847  | 0.275          | 0.262         |
| 305809:6341 | 10/27/17 23:20:38 | 142  | 142  | 0.048          | 0.046         |
| 305814:6343 | 10/28/17 06:17:08 | 1823 | 1823 | 0.465          | 0.443         |
| 305821:6344 | 10/28/17 20:29:22 | 772  | 772  | 0.253          | 0.239         |
| 305832:6346 | 10/29/17 11:22:50 | 179  | 179  | 0.062          | 0.058         |
| 305840:6346 | 10/29/17 15:39:01 | 1137 | 1137 | 0.259          | 0.249         |
| 305842:6346 | 10/29/17 23:07:26 | 862  | 862  | 0.117          | 0.114         |
| 305862:6347 | 10/30/17 11:28:42 | 625  | 625  | 0.211          | 0.201         |
| 305898:6348 | 10/30/17 20:22:11 | 711  | 711  | 0.239          | 0.229         |
| 305902:6349 | 10/31/17 04:27:05 | 469  | 469  | 0.160          | 0.153         |
| 305967:6351 | 10/31/17 16:08:26 | 32   | 32   | 0.011          | 0.010         |
| 306029:6355 | 11/01/17 18:28:41 | 29   | 29   | 0.010          | 0.009         |
| 306030:6355 | 11/01/17 18:42:20 | 110  | 110  | 0.038          | 0.035         |
| 306036:6356 | 11/01/17 22:43:47 | 1    | 1    | 0.000          | 0.000         |
| 306037:6356 | 11/01/17 22:46:26 | 42   | 42   | 0.015          | 0.012         |
| 306038:6356 | 11/01/17 23:06:46 | 136  | 136  | 0.047          | 0.044         |
| 306041:6356 | 11/02/17 00:07:18 | 318  | 318  | 0.106          | 0.099         |
| 306042:6356 | 11/02/17 02:14:22 | 363  | 363  | 0.105          | 0.099         |
| 306048:6356 | 11/02/17 04:39:06 | 133  | 133  | 0.033          | 0.032         |
| 306049:6356 | 11/02/17 05:33:33 | 357  | 357  | 0.078          | 0.075         |
| 306051:6356 | 11/02/17 08:00:13 | 415  | 415  | 0.072          | 0.070         |
| 306091:6358 | 11/02/17 18:43:55 | 193  | 193  | 0.063          | 0.060         |
| 306092:6358 | 11/02/17 20:04:27 | 971  | 971  | 0.233          | 0.218         |
| 306095:6358 | 11/03/17 02:42:56 | 300  | 300  | 0.050          | 0.049         |
| 306121:6360 | 11/03/17 13:15:57 | 86   | 86   | 0.030          | 0.028         |
| 306122:6360 | 11/03/17 13:53:17 | 124  | 124  | 0.043          | 0.040         |
| 306125:6360 | 11/03/17 14:46:12 | 2964 | 2964 | 0.576          | 0.556         |
