# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
297039,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297039,6,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297039,27,6,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/615
297046,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297046,40,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297050,1,6,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/615
297050,12,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297047,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297047,4,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297047,14,6,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/615
297049,1,6,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/615
297048,1,6,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/615
297031,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297031,6,1,2460,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/615
297054,1,3,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297055,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297056,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297056,4,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297057,1,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297067,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297067,8,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297063,1,3,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297068,1,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297062,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297062,4,3,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297065,1,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297101,1,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297100,1,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297100,164,7,1720,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297100,182,8,1720,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297100,195,9,1720,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297100,207,10,1720,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297100,217,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297098,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297099,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297099,3,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297111,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297112,1,3,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297110,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297109,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297114,1,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297107,1,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297107,13,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297107,19,5,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297107,22,1,2460,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/615
297107,26,2,1720,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297107,31,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297107,36,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297107,41,5,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297107,46,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297113,1,3,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297116,1,3,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297115,1,3,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297150,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297150,7,7,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297150,23,6,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297150,26,5,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297150,30,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297149,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297149,16,7,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297161,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297160,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297168,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297168,36,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297169,1,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297170,1,4,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297172,1,4,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297162,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297162,6,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297174,1,4,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297180,1,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297163,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297176,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297176,11,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297177,1,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297181,1,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297175,1,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297182,1,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297171,1,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297173,1,4,430,HLT_BTagMu_AK4DiJet20_Mu5_v5/1,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297178,1,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297179,1,4,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297225,1,5,1720,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297199,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297199,18,3,1720,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297215,1,3,1720,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
297224,1,0,0,HLT_BTagMu_AK4DiJet20_Mu5_v5/0,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/0
297224,10,5,1720,HLT_BTagMu_AK4DiJet20_Mu5_v5/4,ONE,L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4/430
