# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
297039,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297039,6,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297039,27,6,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297046,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297046,40,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297050,1,6,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297050,12,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297047,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297047,4,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297047,14,6,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297049,1,6,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297048,1,6,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297031,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297031,6,1,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297054,1,3,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297055,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/0
297056,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297056,4,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297057,1,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297067,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297067,8,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297063,1,3,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297068,1,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297062,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/0
297062,4,3,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297065,1,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297101,1,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297100,1,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297100,164,7,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297100,182,8,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297100,195,9,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297100,207,10,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297100,217,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297098,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/0
297099,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297099,3,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297111,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/0
297112,1,3,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297110,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/0
297109,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/0
297114,1,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297107,1,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297107,13,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297107,19,5,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297107,22,1,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297107,26,2,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297107,31,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297107,36,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297107,41,5,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297107,46,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297113,1,3,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297116,1,3,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297115,1,3,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297150,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297150,7,7,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297150,23,6,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297150,26,5,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297150,30,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297149,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/0
297149,16,7,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297161,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297160,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297168,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297168,36,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297169,1,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297170,1,4,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297172,1,4,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297162,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297162,6,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297174,1,4,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297180,1,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297163,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/0
297176,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297176,11,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297177,1,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297181,1,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297175,1,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297182,1,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297171,1,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297173,1,4,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297178,1,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297179,1,4,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/1
297225,1,5,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297199,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297199,18,3,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297215,1,3,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297224,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297224,10,5,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297228,1,5,1,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/1
297229,1,5,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297200,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297209,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/1,ONE,L1_SingleJet200/0
297211,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297211,11,1,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297211,48,2,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297211,63,3,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297227,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297227,9,5,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297218,1,3,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297218,9,4,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297219,1,4,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297219,28,5,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297260,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297264,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297268,1,0,0,HLT_BTagMu_AK4Jet300_Mu5_v5/0,ONE,L1_SingleJet200/0
297268,27,1,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
297268,31,2,2,HLT_BTagMu_AK4Jet300_Mu5_v5/2,ONE,L1_SingleJet200/1
