# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,40,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/40
254790,3,7,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
254833,1,1,40,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/40
254833,126,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
254833,317,7,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
254879,1,1,40,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/40
254879,33,7,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
254905,1,1,40,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/40
254905,39,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
254906,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
254913,1,1,40,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/40
254914,6,1,40,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/40
256674,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
257461,1,1,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
257461,35,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
257461,38,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
257461,69,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
257804,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
257804,6,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
257816,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258159,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258312,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258313,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258319,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
259464,1,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
259453,1,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
259456,1,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
259457,1,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
259458,1,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
260627,1,1,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
260627,4,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
260627,108,3,7,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/7
260627,128,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
260627,213,3,7,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/7
260627,575,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
253946,1,11,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
253952,1,11,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
254229,6,1,40,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/40
254380,8,1,200,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/200
254380,9,9,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
254415,1,1,800,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/800
254416,1,12,262139,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/262139
254416,40,8,20,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/20
254608,1,7,20,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/20
254608,515,8,20,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/20
254608,656,9,20,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/20
257612,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
257613,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
260478,1,2,10,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/10
272612,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272617,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272674,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272674,21,11,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272761,1,11,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
251161,1,10,0,HLT_BTagMu_DiJet110_Mu5_v2/0,ONE,L1_Mu3_JetC52_WdEtaPhi2/65537
251167,1,7,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
251252,1,7,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
251493,1,10,0,HLT_BTagMu_DiJet110_Mu5_v2/0,ONE,L1_Mu3_JetC52_WdEtaPhi2/65537
251493,6,6,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
251499,1,6,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
251521,1,6,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
251548,1,10,0,HLT_BTagMu_DiJet110_Mu5_v2/0,ONE,L1_Mu3_JetC52_WdEtaPhi2/65537
251548,28,6,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
254280,1,11,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
254283,5,1,200,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/200
254283,9,11,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
254284,43,11,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
254437,1,1,800,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/800
254437,4,12,262139,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/262139
254437,54,9,20,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/20
254437,65,8,20,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/20
254450,1,8,20,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/20
254458,1,8,20,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/20
256730,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
257487,1,1,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
257487,13,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
257821,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
257968,1,1,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
257968,7,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
257968,11,1,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
257968,12,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258129,1,1,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
258129,17,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258152,1,0,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
258155,1,1,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
258155,14,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258156,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258157,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258210,1,1,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
258213,1,1,15,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/15
258213,12,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258287,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258434,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258432,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258440,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258442,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258443,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258444,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258446,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258448,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258656,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
258656,70,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258690,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
259721,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
