# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
360390,1,3,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360390,18,8,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360390,39,7,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360390,42,6,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360390,49,5,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360390,78,3,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
360391,1,3,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
360392,1,3,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360392,14,5,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
360393,1,5,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
360400,1,3,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360400,46,5,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
360413,1,3,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360413,29,5,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360413,31,6,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360413,34,7,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360413,38,8,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360413,48,7,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360413,52,6,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360413,62,5,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360413,65,6,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360413,106,5,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
360428,1,3,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
360428,8,18,1.00,HLT_BTagMu_AK4Jet300_Mu5_v14/1,ONE,L1_SingleJet200/1.00
